Time;Car linear displacement;Car angular displacement;Engine linear displacement;Driver linear displacement;Rear linear displacement;Front linear displacement;Car linear velocity;Car angular velocity;Engine linear velocity;Driver linear velocity;Rear linear velocity;Front linear velocity;Car linear acceleration;Car angular acceleration;Engine linear acceleration;Driver linear acceleration;Rear linear acceleration;Front linear acceleration;Car equivalente force;Car equivalente torque;Engine equivalente force;Driver equivalente force;Rear equivalente force;Front equivalente force
0.19;-0.112799419;0.102173145;-0.142034466;-0.104237016;-0.067201688;0.006764331;1.427733378;4.468329922;0.188585745;2.219729264;-2.964677685;0.913788884;6.217404823;-59.30345342;27.96149053;-13.02877468;-348.2990995;21.94953177;-1029.69825;-8.237586;-5.455131077;-392.266;-5731.816546;-49.03325
0.2;-0.098739196;0.14463015;-0.139792374;-0.083377021;-0.113040488;0.016641491;1.384311227;4.023174541;0.259832663;1.952269777;-6.203082293;1.061643132;-14.90183505;-32.81092045;-13.71210685;-40.46312281;-299.3818222;7.621317813;-1029.69825;-8.237586;-117.6798;-392.266;-12857.78782;-49.03325
0.21;-0.086276453;0.183874474;-0.138315671;-0.066200764;-0.182023487;0.026854107;1.108237491;3.826056476;0.035507942;1.482981668;-7.593517542;0.98088014;-40.31291216;-10.58349442;-31.15283747;-53.39449894;21.29477238;-23.77391622;-1029.69825;-8.237586;-229.9044689;-392.266;-20570.90154;-49.03325
0.22;-0.077468224;0.221558758;-0.139858638;-0.054107177;-0.25026158;0.035270491;0.653408259;3.711247752;-0.344101407;0.935735776;-6.054100946;0.702396606;-50.65293414;-17.01451251;-44.76903225;-56.05467957;286.5885469;-31.92279065;-1029.69825;-8.237586;-48.32114023;-392.266;-26804.43511;-49.03325
0.23;-0.073391432;0.257200973;-0.145628528;-0.047503871;-0.294506342;0.040877199;0.161950093;3.416668525;-0.809876635;0.384925382;-2.794851604;0.418945027;-47.63869909;-44.30241177;-48.38601332;-54.10739913;365.2613214;-24.76752515;-1029.69825;-8.237586;-48.32114023;-392.266;-29888.11824;-49.03325
0.24;-0.073945772;0.28821823;-0.155042791;-0.04624476;-0.304875713;0.043832546;-0.27281798;2.784538272;-1.072975943;-0.133103238;0.72097744;0.172124438;-39.31491543;-77.76479181;-4.233848255;-49.49832493;337.9044874;-24.59659252;-1029.69825;-8.237586;-229.9044689;-392.266;-28995.68054;-49.03325
0.25;-0.078127717;0.310787667;-0.165442625;-0.049825851;-0.282201363;0.044127777;-0.563571155;1.725851497;-1.006990916;-0.583115024;3.813892494;-0.113078189;-18.83571966;-118.2419302;17.43085364;-40.5040323;280.6785234;-32.44393294;-1029.69825;-8.237586;-117.6798;-392.266;-24366.24995;-49.03325
0.26;-0.084181074;0.320532185;-0.174187405;-0.057258197;-0.232588657;0.041263898;-0.647100209;0.22067246;-0.741965045;-0.903354123;6.108648839;-0.459697765;2.129908817;-154.2766933;35.57432059;-23.54378737;178.2727456;-36.87998228;-1029.69825;-8.237586;-5.455131077;-392.266;-17240.27868;-49.03325
0.27;-0.090304655;0.313727843;-0.178798228;-0.066873937;-0.166922363;0.034881042;-0.577615929;-1.579535988;-0.180199426;-1.019793737;7.024609864;-0.816873424;11.76694723;-171.0413218;76.77880309;0.255864554;4.919459442;-34.55514961;-1029.69825;-8.237586;-187.0384598;-392.266;-9527.16496;-49.03325
0.28;-0.095303807;0.288738994;-0.17695181;-0.076512922;-0.101295479;0.025180413;-0.422214423;-3.411382539;0.549483029;-0.908003377;6.100766884;-1.123252316;19.31335392;-166.5351535;69.1576879;22.10220746;-189.6880555;-26.72062876;-1029.69825;-8.237586;-187.0384598;-392.266;-3293.63139;-49.03325
