Time;Engine mount deformation;Seat deformation;Rear deformation;Front deformation;Rear tire deformation;Front tire deformation;Engine mount deformation velocity;Seat deformation velocity;Rear deformation velocity;Front deformation velocity;Rear tire deformation velocity;Front tire deformation velocity;Engine mount deformation acceleration;Seat deformation acceleration;Rear deformation acceleration;Front deformation acceleration;Rear tire deformation acceleration;Front tire deformation acceleration;;;;;;
0.2;-0.000166415;-0.003791763;-0.078262005;0.000323433;0.015047058;0.016641491;-0.022126181;-0.246104587;5.012561814;3.541207727;1.566644441;1.061643132;8.161384119;22.93641412;305.4789762;-48.77188922;-239.3075846;7.621317813;0;0;0;0;0;0
0.21;-0.000365007;-0.005365731;-0.021932629;0.033969019;0.023195196;0.026854107;-0.017696547;-0.068659659;6.253078888;3.188202531;-0.291070098;0.98088014;-6.143778779;12.23490723;-54.83424811;-25.00579147;-130.090382;-23.77391622;0;0;0;0;0;0
0.22;-0.000753832;-0.005636347;0.03099575;0.064508292;0.017292439;0.035270491;-0.060195943;0.014572304;4.332310644;2.920009855;-1.175617687;0.702396606;-1.034765818;4.040584428;-326.352193;-32.3417535;-35.69246957;-31.92279065;0;0;0;0;0;0
0.23;-0.001065181;-0.005311484;0.056506288;0.091492147;0.003884508;0.040877199;-0.001923802;0.050358193;0.770133841;2.476339886;-1.647518181;0.418945027;13.37350158;2.9245071;-384.546477;-58.31310336;-41.56061905;-24.76752515;0;0;0;0;0;0
0.24;-0.001045176;-0.004643553;0.046470274;0.112796266;-0.01540924;0.043832546;0.006564556;0.08304832;-2.775899914;1.7826882;-2.170266036;0.172124438;-12.91810151;3.962226161;-327.4499361;-76.93015636;-44.45076662;-24.59659252;0;0;0;0;0;0
0.25;-0.001259577;-0.003438853;0.005169539;0.126374639;-0.039029196;0.044127777;-0.048447916;0.157611989;-5.482008607;0.930188231;-2.341221526;-0.113078189;-2.567623182;12.20895823;-223.8394077;-80.9853309;25.24173727;-32.44393294;0;0;0;0;0;0
0.26;-0.001345342;-0.001280302;-0.056733016;0.130980776;-0.060676202;0.041263898;0.031973184;0.27390771;-6.896979422;-0.010864476;-1.661077895;-0.459697765;10.52444581;13.33156073;-77.40575312;-84.41146351;118.1985081;-36.87998228;0;0;0;0;0;0
0.27;-0.000918862;0.001667509;-0.124168111;0.125796577;-0.072141046;0.034881042;0.052751254;0.315814929;-6.591322761;-1.024371295;-0.27783758;-0.816873424;-16.26507914;-2.172223066;116.3139337;-90.5109606;156.3046138;-34.55514961;0;0;0;0;0;0
0.28;-0.00064261;0.004308235;-0.178801283;0.110506975;-0.068849498;0.025180413;0.000546572;0.21287835;-4.339696482;-2.028068138;1.222283626;-1.123252316;-2.381815227;-16.11166582;315.5839076;-87.19414013;132.592961;-26.72062876;0;0;0;0;0;0
0.29;-0.000412792;0.005442246;-0.203382896;0.085956478;-0.051495222;0.01294112;0.043211879;0.014542768;-0.581577947;-2.875841519;2.39012121;-1.324606258;7.156784883;-22.5005477;427.6005758;-71.81150655;83.84754576;-13.55015961;0;0;0;0;0;0
0.3;-3.25E-05;0.004567176;-0.19061896;0.054293476;-0.032262071;-0.000583367;0.031884511;-0.189286569;3.132203691;-3.454057107;0.631005511;-1.380291173;-8.651483796;-18.48167749;316.8866144;-45.99518939;-258.3154297;2.413176686;0;0;0;0;0;0
0.31;0.000102057;0.002375606;-0.152790284;0.018475223;-0.030505315;-0.013912453;-0.004411855;-0.249185067;4.434792937;-3.711170398;-0.279654213;-1.28552605;4.155241688;5.726390154;-50.16406402;-13.18334507;76.18348485;16.53984785;0;0;0;0;0;0
0.32;0.00012229;0.000814105;-0.113535681;-0.018354129;-0.027367562;-0.025748566;0.009713306;-0.063467255;3.418945436;-3.658221977;0.907204716;-1.081696571;0.911881628;30.78781331;-147.9705647;17.47943994;161.188301;24.22604807;0;0;0;0;0;0
0.33;0.000124968;0.001651732;-0.083363194;-0.053392086;-0.014091273;-0.035348422;-0.007977089;0.230655576;2.618247954;-3.352739545;1.748053195;-0.838274515;-3.63261986;27.80732401;-10.33350016;41.32275681;6.981394827;24.45836304;0;0;0;0;0;0
0.34;6.58E-05;0.004566736;-0.055810502;-0.084479825;0.00114836;-0.042575842;-0.003107782;0.35213766;2.893950917;-2.866883682;1.299873391;-0.607209641;4.257122438;-3.412841653;64.6895678;56.82907205;-96.61735569;21.75461168;0;0;0;0;0;0
0.35;2.26E-06;0.007150378;-0.025287459;-0.1101404;0.010311297;-0.047567355;-0.009514885;0.16456416;3.210871062;-2.265498118;0.532713889;-0.391092955;-6.227824346;-33.90837577;-2.853398602;65.38286564;-56.81454474;21.46872559;0;0;0;0;0;0
0.36;-8.03E-05;0.007099568;0.004793186;-0.129382468;0.014430244;-0.050309295;-0.007433856;-0.174603148;2.804273164;-1.581684719;0.29107552;-0.157294893;6.526068572;-33.89197391;-78.73107705;71.71093431;8.486870959;25.29088675;0;0;0;0;0;0
0.37;0.000112071;0.004311765;0.028762497;-0.141427861;0.017799768;-0.050500483;0.045273856;-0.38277995;1.988168297;-0.825617826;0.382829369;0.119057155;4.981801745;-8.014636381;-82.31989688;76.78994482;9.863898859;29.97952285;0;0;0;0;0;0
0.38;0.000303045;0.000871735;0.045303443;-0.145617622;0.02130911;-0.04779282;-0.007542086;-0.305095935;1.31898108;-0.011034553;0.319038993;0.422475558;-13.58311354;23.00073718;-47.1119288;80.61968752;-22.62197411;30.7041579;0;0;0;0;0;0
0.39;0.000110263;-0.000672597;0.056418569;-0.1415642;0.023180149;-0.042161644;-0.031089047;-0.003749513;0.903876522;0.821928678;0.055168799;0.703759647;11.18608866;36.61946159;-30.71629818;79.48210298;-30.15206472;25.55265977;0;0;0;0;0;0
0.4;0.000120404;0.00055973;0.063364307;-0.12955141;0.022605022;-0.03412357;0.033384221;0.250139942;0.485870374;1.579879974;-0.170194121;0.903855115;3.613746441;13.62364165;-48.60662921;66.76027846;-14.92051927;14.466434;0;0;0;0;0;0
0.41;0.00015073;0.00286459;0.065509081;-0.110806366;0.020319916;-0.024691094;-0.026929428;0.210722783;-0.056040831;2.168035397;-0.286827188;0.982640153;-14.62515108;-21.80218224;-57.41474152;47.91971823;-8.406093965;1.290573462;0;0;0;0;0;0
0.42;-0.000152432;0.003598681;0.0624677;-0.087184395;0.016995046;-0.014980334;-0.033437046;-0.063979315;-0.551638022;2.555612096;-0.378146747;0.959511754;13.48069905;-33.18232763;-41.3519743;29.15471851;-9.857817956;-5.91625331;0;0;0;0;0;0
0.43;-0.000105934;0.001625786;0.055176094;-0.060679051;0.012789228;-0.005676925;0.042772922;-0.330609771;-0.906601871;2.745355217;-0.463016814;0.901170027;1.380837499;-20.03696868;-30.49515498;9.86185531;-7.116195439;-5.752091949;0;0;0;0;0;0
0.44;7.82E-05;-0.001943595;0.044848741;-0.033129962;0.007953725;0.003076895;-0.006101721;-0.383225223;-1.159198804;2.764875139;-0.504083813;0.849593954;-11.63290134;9.647810975;-21.09569342;-4.61854378;-1.097204263;-4.563122612;0;0;0;0;0;0
0.45;-2.91E-05;-0.004635502;0.032591039;-0.005985051;0.003039079;0.011285649;-0.015592278;-0.155089538;-1.292875;2.664773855;-0.478845425;0.792156791;9.438303067;36.06255043;-6.305340967;-14.56946922;6.144881788;-6.924310074;0;0;0;0;0;0
0.46;-1.64E-06;-0.004533657;0.019529492;0.019601452;-0.00136963;0.018678692;0.020880784;0.175517195;-1.319903287;2.45311283;-0.402896321;0.686451814;-2.172745589;30.06695193;0.834437523;-27.68117795;9.04493911;-14.21668535;0;0;0;0;0;0
0.47;6.09E-05;-0.002061713;0.006513906;0.042377566;-0.005060358;0.024590757;-0.008456148;0.318896591;-1.283413556;2.102359458;-0.335249321;0.49596134;-3.557689701;-1.429515155;6.77104819;-42.85392095;4.48446083;-23.88140953;0;0;0;0;0;0
0.48;-9.74E-06;0.000381247;-0.005822828;0.060939378;-0.008273161;0.028227728;-0.005629114;0.16968148;-1.183823174;1.609865301;-0.307311234;0.231432827;4.222694417;-28.44146424;13.37068651;-55.92448331;1.103156578;-29.02429293;0;0;0;0;0;0
0.49;-5.10E-05;0.000625197;-0.016927313;0.074038695;-0.011204665;0.029176209;-0.002486412;-0.12092793;-1.036781827;1.009633105;-0.278989693;-0.041736601;-3.698815228;-29.65103926;15.80255422;-63.82816994;4.561151627;-25.60959263;0;0;0;0;0;0
0.5;-1.93E-05;-0.001442664;-0.026432478;0.080927753;-0.013624297;0.027698468;0.008936732;-0.292677888;-0.863982508;0.367842819;-0.204936655;-0.25381166;5.651181331;-4.605685549;18.01117568;-63.59721995;10.24945603;-16.80541935;0;0;0;0;0;0
0.51;0.000122657;-0.003884637;-0.034083218;0.081571386;-0.015127244;0.024505117;0.019507781;-0.195730684;-0.666053784;-0.239256077;-0.095652679;-0.384858612;-3.983367979;24.12043066;20.57213501;-56.56951678;11.60733916;-9.40397102;0;0;0;0;0;0
0.52;7.82E-05;-0.004358024;-0.03956817;0.076581357;-0.015568776;0.020240579;-0.02843194;0.101059753;-0.430988047;-0.758685182;0.007346229;-0.468048885;-6.023832279;35.35534256;25.49952491;-46.13944489;8.992442385;-7.234083607;0;0;0;0;0;0
0.53;-3.19E-05;-0.002032994;-0.042624685;0.066864006;-0.015129787;0.015152351;0.006350017;0.363965265;-0.180467407;-1.184594582;0.080451656;-0.549596777;12.6833773;17.30908508;23.93800079;-38.20918212;5.628642987;-9.075494686;0;0;0;0;0;0
0.54;0.000127196;0.001563647;-0.043501939;0.05320474;-0.014193356;0.009147979;0.025402303;0.355382832;0.004857917;-1.547060285;0.106834399;-0.651277585;-8.997736127;-18.99053561;12.84677531;-33.93359768;-0.352094447;-11.26066699;0;0;0;0;0;0
0.55;4.48E-05;0.003773633;-0.042887275;0.036235386;-0.013241414;0.002146238;-0.041920869;0.086624863;0.117990918;-1.846705744;0.083554016;-0.74907061;-4.444553047;-34.76733037;9.830003775;-26.05821752;-4.303982094;-8.297937928;0;0;0;0;0;0
0.56;-8.57E-05;0.003282647;-0.041295935;0.016764661;-0.012523074;-0.005509654;0.015831252;-0.184824235;0.200294613;-2.047460961;0.060114037;-0.782107845;16.08760832;-19.54849107;6.838748899;-14.35284327;-0.384013629;1.690490933;0;0;0;0;0;0
0.57;0.000178061;0.001117247;-0.039176037;-0.004077032;-0.011871864;-0.012986256;0.036965393;-0.248268362;0.223786017;-2.121003848;0.070128045;-0.713212551;-11.77365046;6.835208309;-1.944808598;-0.600308516;2.386815229;12.0885678;0;0;0;0;0;0
0.58;0.000165446;-0.00042946;-0.03696706;-0.02488369;-0.011101055;-0.019396074;-0.039438578;-0.061087054;0.218120993;-2.040467346;0.084033622;-0.568751083;-3.472430104;30.59130901;0.889757512;16.61016684;0.394300155;16.80372593;0;0;0;0;0;0
0.59;-3.28E-06;0.000445938;-0.034727408;-0.044145007;-0.010272484;-0.02427513;0.005720357;0.236159167;0.229870394;-1.811872424;0.08168054;-0.407060051;12.49254526;28.86121163;1.433911918;29.14158123;-0.864916557;15.53448035;0;0;0;0;0;0
0.6;0.00012018;0.003452994;-0.032605981;-0.060722265;-0.009593264;-0.0277023;0.018971583;0.365252013;0.194414928;-1.503578912;0.054163596;-0.278373969;-9.863594415;-3.036665213;-8.572823829;32.57689457;-4.638472301;10.20273603;0;0;0;0;0;0
0.61;8.04E-05;0.006265027;-0.031151534;-0.074106086;-0.009397761;-0.030075967;-0.026954219;0.197159565;0.096433806;-1.17313455;-0.015063049;-0.196359457;0.68108161;-30.58256741;-11.01745516;33.50454598;-9.206856737;6.200166388;0;0;0;0;0;0
