Time,Car linear displacement,Car angular displacement,Engine linear displacement,Driver linear displacement,Rear linear displacement,Front linear displacement,Car linear velocity,Car angular velocity,Engine linear velocity,Driver linear velocity,Rear linear velocity,Front linear velocity,Car linear acceleration,Car angular acceleration,Engine linear acceleration,Driver linear acceleration,Rear linear acceleration,Front linear acceleration,Car equivalente force,Car equivalente torque,Engine equivalente force,Driver equivalente force,Rear equivalente force,Front equivalente force
0.01,-0.00024232009879230566,-4.003961088117582E-06,-0.0002412884604117459,-0.0002447452776132257,-0.0001867130337867996,-0.00018847106585825608,-0.04846401975846114,-0.0008007922176277958,-0.04825769208234919,-0.04894905552264514,-0.037342606757359925,-0.03769421317165122,-9.692803951692227,-0.16015844352299155,-9.651538416469837,-9.789811104529027,-7.468521351471985,-7.538842634330243,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-49.033249999999995,-49.033249999999995
0.02,-0.0016531989120288752,-0.001135774414375851,-0.0013222626220911068,-0.0013107996079847316,-0.0007175539948117359,-0.01859484463342456,-0.2337117428888528,-0.22555339508232033,-0.16793714025352302,-0.1642618105516561,-0.06882558544762736,-3.6435805003416095,-27.356740674386103,-44.790304144009745,-14.284351217764925,-13.27273990127316,1.171925613418498,-713.6384147996614,-1029.69825,-8.237586000000007,-48.32114022948818,-392.26599999999996,-49.033249999999995,-7549.033250000001
0.03,-0.006030912280857273,-0.007444497937980661,-0.0038968974317887405,-0.004046413153339059,-0.0010654843869936119,-0.07974696137279054,-0.6418309308768267,-1.0362064648221807,-0.34698982168600373,-0.38286089851920935,-0.0007604929887478282,-8.586842847531585,-54.26709692320868,-117.33131596584717,-21.52618506873122,-30.447077692237492,12.441092878357408,-275.01405463833385,-1029.69825,-8.237586000000007,-48.321140229488066,-392.26599999999996,-49.033249999999995,-15049.033249999997
0.04,-0.015230596425070587,-0.024218103728421998,-0.008330616528261099,-0.010262446998694845,-0.00036419901374447935,-0.16667063518234354,-1.198105897965836,-2.3187636592585905,-0.539753997608468,-0.860345870551948,0.14101756763857434,-8.797891914379015,-56.98789649459319,-139.0058469919837,-17.026650115761644,-65.04991671431023,15.914519247107025,232.80424126884805,-1029.69825,-8.237586000000007,-229.90446892282813,-392.26599999999996,-49.033249999999995,-22549.033250000004
0.05,-0.029540002670556963,-0.05364886042462124,-0.014261298698168405,-0.022919408722054065,0.001698869985095842,-0.23961449445417252,-1.6637753511314393,-3.5685290142510104,-0.6463824363729934,-1.6710464741198958,0.2715962321294899,-5.79087993998678,-36.145994138527456,-109.85730884579209,-4.299037637143439,-97.09020399927934,10.201213651076086,368.59815360959897,-1029.69825,-8.237586000000007,-117.67980000000004,-392.26599999999996,-49.033249999999995,-28039.414306766583
0.060000000000000005,-0.0474800045169904,-0.09356309338247508,-0.020853151629002857,-0.044410935013854166,0.004691248415678436,-0.28070162224832507,-1.9242250181552485,-4.416625809555562,-0.671988149793897,-2.6272587842401247,0.326879453987029,-2.426545618843729,-15.94393926623438,-56.51880494398837,-0.8221050470372724,-94.15225802476638,0.8554307204317286,304.26871061901124,-1029.69825,-8.237586000000007,-5.455131077171856,-392.26599999999996,-49.033249999999995,-30049.03325
0.07,-0.06733576050730528,-0.13908652887566214,-0.02782816047644905,-0.07413988668636227,0.007689506620786733,-0.2903359673136396,-2.046926179907727,-4.690362180563855,-0.7230136196953421,-3.3185315502614965,0.27277218703463035,0.4996766057808255,-8.59629308426129,7.145542929195995,-9.382988933251735,-44.102295179507934,-11.67688411091146,280.97573430589966,-1029.69825,-8.237586000000007,-187.0384597705118,-392.26599999999996,-49.033249999999995,-28039.414306766572
0.08,-0.08806249441371732,-0.18403712836288075,-0.03590131510343636,-0.1076778540105676,0.009506684787299102,-0.2714199959479494,-2.0984206013746807,-4.299841026275589,-0.8916173057021194,-3.3890619145795697,0.09066344626784341,3.2835176673572097,-1.7025912091294657,75.06308216170858,-24.337748268103727,29.996222315893334,-24.744864042445926,275.7924780093772,-1029.69825,-8.237586000000007,-187.03845977051188,-392.26599999999996,-49.033249999999995,-22549.033249999993
0.09,-0.10875574793078552,-0.22158999452184722,-0.04609946133848185,-0.1386094831045086,0.009025098402776526,-0.2274136364802054,-2.0402301020389593,-3.2073963127245237,-1.148011941306978,-2.797263904208629,-0.18698072317235864,5.517754226191592,13.340691076273671,139.79502617818312,-26.941178852868003,88.36337975829483,-30.783969845594484,171.05483375749918,-1029.69825,-8.237586000000007,-5.455131077172027,-392.26599999999996,-49.033249999999995,-15049.033250000002
0.09999999999999999,-0.1279907806665265,-0.2451400052445097,-0.058814587709310605,-0.16174952865294287,0.005705455425269647,-0.16864670968668546,-1.806776445109237,-1.4980390398406371,-1.3950133328587733,-1.8307452054782238,-0.4769478723290172,6.235631132512396,33.350040309670774,186.10974045761947,-22.459099457491053,104.94035998778614,-27.209459985737226,-27.479452493338158,-1029.69825,-8.237586000000007,-117.67979999999949,-392.26599999999996,-49.033249999999995,-7549.033249999999
0.10999999999999999,-0.14394286464179415,-0.2499351428304158,-0.07346038116978659,-0.17535389064288412,-0.00016568176158025992,-0.11233734776120029,-1.3836403499442929,0.540244714114271,-1.5341453592364243,-0.8901271925100265,-0.6972795650409642,5.026241252584638,51.277178723318045,197.1740033300886,-5.367305818039139,83.18324260585334,-16.856878556652163,-214.39852349221337,-1029.69825,-8.237586000000007,-229.9044689228283,-392.26599999999996,-49.033249999999995,-2058.6521932334244
0.11999999999999998,-0.1550112181567504,-0.23491006248886034,-0.08868580253755677,-0.1809558997408424,-0.007642063817494169,-0.07529330803468237,-0.8300303530469564,2.4612590654539876,-1.5109389143176113,-0.23027462708162785,-0.7979968461418175,2.382566692718945,59.44482065614922,165.85965933639088,10.008594801801731,48.78727047982639,-3.2865776635185,-314.3363884809253,-1029.69825,-8.237586000000007,-48.32114022948859,-392.26599999999996,-49.033249999999995,-49.033249999999995
0.12999999999999998,-0.1605098406387717,-0.20304698296935075,-0.10305494399718719,-0.18134381085768825,-0.01553812742392314,-0.06261926194427608,-0.269694143357302,3.9067705254269636,-1.3628893776084723,0.15269240371245646,-0.7812158751439767,0.15224252536231253,52.622421281781655,113.6430855845709,19.601312540026075,27.806135678990472,6.642771863086665,-131.72844499040121,-1029.69825,-8.237586000000007,-48.3211402294874,-392.26599999999996,-49.033249999999995,-49.033249999999995
0.13999999999999999,-0.1608391523925127,-0.1593501854299755,-0.11564531532132562,-0.1783946305755757,-0.02300261666849025,-0.06069777723065985,0.20383179260909945,4.830282607868007,-1.1551848872192134,0.43714365271005373,-0.7116819737694451,0.2320544173609348,42.08276591149864,71.5696270483384,21.93958553782573,29.084114120528987,7.264008411819674,147.69082339012567,-1029.69825,-8.237586000000007,-229.90446892282796,-392.26599999999996,-49.033249999999995,-49.033249999999995
0.15,-0.15684915907990457,-0.10833979066912029,-0.12605633343858705,-0.17220094738608596,-0.029829196537339314,-0.05142803785338172,0.5941668699125268,5.372147804409105,-0.9270187362330727,0.8015929851878932,-0.653634000000368,1.6218934580946902,35.98424954918681,41.57976783233176,23.693644659402427,43.805752375038914,4.345586341995755,130.27698475662538,-1029.69825,-8.237586000000007,-117.67980000000055,-392.26599999999996,-49.033249999999995,-49.033249999999995
0.16,-0.1493004451506294,-0.053488356695566015,-0.13408225944722602,-0.16170877890778487,-0.03609495369261758,-0.03277577354950839,0.9155759159425072,5.600382607362857,-0.6781664654947206,1.2968407104723245,-0.5995174310552854,2.1085594026799765,28.297559656809256,8.507296774505873,26.076809488267994,55.24379268184733,6.477727447020754,-32.94379583956817,-1029.69825,-8.237586000000007,-5.455131077171828,-392.26599999999996,-49.033249999999995,-49.033249999999995
